"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Game/VFX/TexturesMaterials/M_StarTest.M_StarTest","0","14","1","1","18.803093","0","105"
"/Game/VFX/TexturesMaterials/M_CellShading_AffectsAll.M_CellShading_AffectsAll","0","4","2","1","2.747311","0","11"
"/Game/Props/Materials/M_BaseColorMaster.M_BaseColorMaster","0","40","1","1","49.626350","0","328"
"/Game/VFX/TexturesMaterials/M_Spark.M_Spark","0","14","2","1","18.223677","0","105"
"/Game/VFX/TexturesMaterials/M_Glow_Red.M_Glow_Red","0","28","1","1","28.696558","0","231"
"/Game/Characters/Children/Body_Skin2.Body_Skin2","0","26","1","1","37.386806","0","263"
"/Game/VFX/TexturesMaterials/M_EditableColor_3D.M_EditableColor_3D","0","40","1","1","60.162403","0","321"
"/Game/Blueprints/Misc/Testing/OurMaskedSpriteMat2.OurMaskedSpriteMat2","0","28","1","1","31.078039","0","102"
"/Game/Characters/Children/MaleHair.MaleHair","0","26","1","1","38.480000","0","96"
"/Game/VFX/TexturesMaterials/M_EditableColor.M_EditableColor","0","30","1","1","26.762337","0","115"
"/Game/VFX/TexturesMaterials/M_CellShading_Selective.M_CellShading_Selective","0","4","4","1","3.363128","0","5"
"/Game/VFX/TexturesMaterials/M_CellShading_Affects_Some.M_CellShading_Affects_Some","0","4","1","1","3.410167","0","13"
"/Game/Blueprints/Misc/Testing/OurMaskedSpriteMat.OurMaskedSpriteMat","0","28","2","1","31.224600","0","72"
"/Game/VFX/TexturesMaterials/M_CellShading_Affects_Selective_4VFX.M_CellShading_Affects_Selective_4VFX","0","4","4","1","3.155091","0","5"
"/Game/VFX/TexturesMaterials/M_ArcaneAura.M_ArcaneAura","0","10","1","1","13.145926","0","25"
"/Game/Props/Pickups/Materials/M_Prop_Pickup_Master.M_Prop_Pickup_Master","0","14","1","1","19.979324","0","30"
"/Game/Props/Materials/M_Prop_Master.M_Prop_Master","0","56","1","1","66.566406","0","194"
"/Game/Characters/Clown/Eyes.Eyes","0","26","1","1","38.317879","0","76"
"/Game/Characters/Clown/Clown.Clown","0","26","3","1","39.853733","0","96"
"/Game/Characters/Adults/Mom.Mom","0","26","2","1","40.421570","0","85"
"/Game/VFX/TexturesMaterials/M_Haha.M_Haha","0","52","1","1","76.698639","0","344"
"/Game/VFX/TexturesMaterials/M_FadedCircle.M_FadedCircle","0","44","5","1","53.848412","0","316"
